"Alue,""Tulotyyppi"",""2017"""
"091 311 Kotkavuori,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",50171"
"091 311 Kotkavuori,""Kunnallisverotuksessa verotettava tulo € / henkilo"",28709"
"091 312 Vattuniemi,""Asuntokunnat"",4396"
"091 312 Vattuniemi,""Henkilot"",8409"
"091 312 Vattuniemi,""Valtionveronalaiset tulot yhteensa 100 €"",3886942"
"091 312 Vattuniemi,""Valtionveronalaiset tulot € / asuntokunta"",88420"
"091 312 Vattuniemi,""Valtionveronalaiset tulot € / henkilo"",46224"
"091 312 Vattuniemi,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",3355630"
"091 312 Vattuniemi,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",76334"
"091 312 Vattuniemi,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",39905"
"091 312 Vattuniemi,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2930850"
"091 312 Vattuniemi,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",66671"
"091 312 Vattuniemi,""Kunnallisverotuksessa verotettava tulo € / henkilo"",34854"
"091 313 Myllykallio,""Asuntokunnat"",3835"
"091 313 Myllykallio,""Henkilot"",7280"
"091 313 Myllykallio,""Valtionveronalaiset tulot yhteensa 100 €"",3006543"
"091 313 Myllykallio,""Valtionveronalaiset tulot € / asuntokunta"",78397"
"091 313 Myllykallio,""Valtionveronalaiset tulot € / henkilo"",41299"
"091 313 Myllykallio,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2592619"
"091 313 Myllykallio,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",67604"
"091 313 Myllykallio,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",35613"
"091 313 Myllykallio,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2222511"
"091 313 Myllykallio,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",57953"
"091 313 Myllykallio,""Kunnallisverotuksessa verotettava tulo € / henkilo"",30529"
"091 314 Koivusaari,""Asuntokunnat"",.."
"091 314 Koivusaari,""Henkilot"",.."
"091 314 Koivusaari,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 314 Koivusaari,""Valtionveronalaiset tulot € / asuntokunta"",.."
