"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 70 Ullanlinna,""Koko vaesto"",""Yhteensa"",10893,7561,1337,2296,2593,2107,2560"
"091 70 Ullanlinna,""Koko vaesto"",""Miehet"",4950,3458,698,960,1246,997,1049"
"091 70 Ullanlinna,""Koko vaesto"",""Naiset"",5943,4103,639,1336,1347,1110,1511"
"091 70 Ullanlinna,""Tyovoima"",""Yhteensa"",6219,6098,0,1504,2315,1857,543"
"091 70 Ullanlinna,""Tyovoima"",""Miehet"",2830,2763,0,565,1122,881,262"
"091 70 Ullanlinna,""Tyovoima"",""Naiset"",3389,3335,0,939,1193,976,281"
"091 70 Ullanlinna,""Tyolliset"",""Yhteensa"",5790,5669,0,1428,2166,1705,491"
"091 70 Ullanlinna,""Tyolliset"",""Miehet"",2620,2553,0,538,1043,803,236"
"091 70 Ullanlinna,""Tyolliset"",""Naiset"",3170,3116,0,890,1123,902,255"
"091 70 Ullanlinna,""Tyottomat"",""Yhteensa"",429,429,0,76,149,152,52"
"091 70 Ullanlinna,""Tyottomat"",""Miehet"",210,210,0,27,79,78,26"
"091 70 Ullanlinna,""Tyottomat"",""Naiset"",219,-1,0,-1,70,74,26"
"091 70 Ullanlinna,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",4674,1463,1337,792,278,250,2017"
"091 70 Ullanlinna,""Tyovoiman ulkopuolella olevat"",""Miehet"",2120,695,698,395,124,116,787"
"091 70 Ullanlinna,""Tyovoiman ulkopuolella olevat"",""Naiset"",2554,768,639,397,154,134,1230"
"091 70 Ullanlinna,""0-14-vuotiaat"",""Yhteensa"",1337,0,1337,0,0,0,0"
"091 70 Ullanlinna,""0-14-vuotiaat"",""Miehet"",698,0,698,0,0,0,0"
"091 70 Ullanlinna,""0-14-vuotiaat"",""Naiset"",639,0,639,0,0,0,0"
"091 70 Ullanlinna,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",806,798,0,673,91,33,-1"
"091 70 Ullanlinna,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",396,-1,0,-1,38,-1,-1"
"091 70 Ullanlinna,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",410,-1,0,-1,53,-1,-1"
