INDEX;ASUKKAITA;ASVALJYYS;IKA0_9;IKA10_19;IKA20_29;IKA30_39;IKA40_49;IKA50_59;IKA60_69;IKA70_79;IKA_YLI80
17241;19;29.68;99;99;99;99;99;99;99;99;99
17247;61;6.62;99;99;99;99;99;99;99;99;99
17248;128;39.13;4;17;14;17;21;32;18;4;1
17249;211;38.88;28;30;6;25;31;29;28;21;13
17250;218;50.87;27;40;10;18;44;30;19;22;8
17251;164;39.52;18;15;14;25;24;19;14;20;15
17252;510;39.21;50;11;102;116;58;43;43;53;34
17253;255;38.51;21;20;53;72;26;16;20;18;9
17254;92;39.03;99;99;99;99;99;99;99;99;99
17255;241;37.73;27;26;44;44;28;20;25;19;8
17256;87;47.79;99;99;99;99;99;99;99;99;99
17257;337;29.84;26;28;14;27;43;40;61;64;34
17258;927;27.07;64;77;154;229;104;80;98;77;44
17259;271;22.98;39;21;60;69;37;20;5;17;3
17260;396;31.35;60;50;46;67;61;45;36;16;15
17261;196;38.56;9;18;13;23;40;28;25;34;6
17262;610;26.54;24;41;313;121;50;29;22;5;5
17263;662;23.79;46;36;257;158;69;46;28;15;7
17264;368;27.2;5;30;273;44;7;4;3;2;0
17265;417;43.18;28;48;80;46;51;60;55;38;11
17266;125;38.18;7;18;17;23;23;17;17;3;0
17267;695;31.21;51;77;88;130;114;101;78;44;12
17268;1011;31.87;55;44;193;293;154;111;78;56;27
17269;587;33.56;42;34;95;147;95;50;57;45;22
17270;1308;39.8;116;96;149;243;212;168;143;120;61
17271;1356;32.77;31;19;372;420;134;116;83;94;87
17272;1106;33.98;50;22;317;301;174;100;52;66;24
17280;1089;42.44;96;89;131;155;150;163;126;126;53
17281;1021;37.43;101;109;154;156;174;147;77;77;26
17380;9;999999999;99;99;99;99;99;99;99;99;99
17383;286;40.7;33;17;66;56;51;28;27;5;3
17385;389;37.18;30;40;133;90;47;35;13;1;0
17386;417;41.77;32;26;176;92;40;36;11;3;1
17389;50;32;99;99;99;99;99;99;99;99;99
17390;100;31.44;12;20;4;17;21;12;10;3;1
17392;92;29.17;99;99;99;99;99;99;99;99;99
17393;15;30.6;99;99;99;99;99;99;99;99;99
17394;103;35.94;15;14;24;19;14;11;4;2;0
17395;76;36.83;99;99;99;99;99;99;99;99;99
17396;21;41.41;99;99;99;99;99;99;99;99;99
17397;118;34.58;17;16;8;32;22;7;8;7;1
17398;301;39.5;16;22;138;50;26;15;18;13;3
17410;66;53.89;99;99;99;99;99;99;99;99;99
17411;127;49.24;17;13;7;11;16;23;12;22;6
17412;185;38.18;23;25;16;24;30;26;18;8;15
17413;333;39.32;53;41;9;49;46;34;37;45;19
17414;471;40.9;47;34;66;85;65;42;46;52;34
17415;338;43.47;35;31;72;64;46;35;26;16;13
17416;225;41.57;29;27;12;25;46;29;21;23;13
17417;416;36.11;50;33;34;64;54;44;32;22;83
17418;89;51.65;99;99;99;99;99;99;99;99;99
17419;8;15;99;99;99;99;99;99;99;99;99
17420;1181;31.66;117;132;232;196;128;116;88;103;69
17422;23;999999999;99;99;99;99;99;99;99;99;99
17423;170;25.45;21;24;20;31;36;19;11;8;0
17424;143;33.26;16;28;21;19;27;14;13;4;1
17425;331;35.97;23;28;25;49;60;41;43;43;19
17426;335;38.93;14;26;25;60;38;55;51;48;18
17427;1600;30.07;193;178;358;275;271;123;112;66;24
17428;533;31.83;10;30;407;33;22;11;10;8;2
17429;252;37.92;15;24;21;32;28;41;48;30;13
17430;569;31.24;70;80;180;132;57;35;10;5;0
17431;72;38.68;99;99;99;99;99;99;99;99;99
17432;449;34.43;51;57;46;109;84;34;38;20;10
17442;60;48.7;99;99;99;99;99;99;99;99;99
17443;514;55.41;43;52;36;60;73;65;72;77;36
17444;241;34.24;24;10;21;25;30;25;37;46;23
17545;342;38.71;31;21;113;88;40;30;17;2;0
17560;7;56.71;99;99;99;99;99;99;99;99;99
17561;71;35.48;99;99;99;99;99;99;99;99;99
17562;127;43.58;12;13;6;12;16;28;18;16;6
17563;57;36.44;99;99;99;99;99;99;99;99;99
17572;180;26.23;48;16;22;44;17;17;7;9;0
17574;180;33.59;10;28;10;14;33;33;30;18;4
17575;289;38.48;19;16;46;36;33;40;38;47;14
17576;361;30.13;24;26;79;92;36;41;33;25;5
17577;205;50.46;27;28;12;28;42;20;24;14;10
17578;292;44.6;46;39;8;33;50;24;41;33;18
17579;213;37.57;17;26;16;23;37;28;32;21;13
17583;9;31.44;99;99;99;99;99;99;99;99;99
17584;9;86.74;99;99;99;99;99;99;99;99;99
17585;367;31.56;28;21;52;90;65;27;40;32;12
17586;131;37.31;11;8;27;22;23;13;5;8;14
17587;658;35.65;65;37;107;158;100;56;56;54;25
17588;628;33.6;73;65;125;123;79;55;56;43;9
17589;290;31.48;36;32;51;59;48;27;23;14;0
17592;58;36.86;99;99;99;99;99;99;99;99;99
17593;122;35.92;9;6;18;24;18;16;14;15;2
17595;517;30.41;21;21;261;145;39;19;11;0;0
17598;1073;27.56;176;122;155;264;154;79;86;33;4
17599;667;39.42;77;40;156;178;85;70;44;15;2
17604;496;33.05;31;46;117;56;50;43;36;60;57
17605;848;37.9;79;57;74;122;113;86;115;152;50
17613;43;35.77;99;99;99;99;99;99;99;99;99
17614;61;17.18;99;99;99;99;99;99;99;99;99
17706;8;999999999;99;99;99;99;99;99;99;99;99
17707;98;42.67;99;99;99;99;99;99;99;99;99
17714;12;56.5;99;99;99;99;99;99;99;99;99
17715;29;37.59;99;99;99;99;99;99;99;99;99
17718;38;55;99;99;99;99;99;99;99;99;99
17719;14;37.43;99;99;99;99;99;99;99;99;99
17720;46;45.76;99;99;99;99;99;99;99;99;99
17721;41;33.05;99;99;99;99;99;99;99;99;99
17722;293;32.31;39;33;40;43;53;26;29;22;8
17723;122;42.16;8;12;9;19;16;25;16;12;5
17724;195;45.21;19;35;5;24;32;24;25;26;5
