Taulu 17C Yksinasuvat (=yhden hengen asuntokunnat) sukupuolen ja iän mukaan peruspiireittäin vuodevaihteessa 2021/2022. Lähde: Tilastokeskus;;;;;;;;;;;;;;
Suurpiiri;Peruspiiri;Sukupuoli;Yhteensä;Ikä, vuotta -19;Ikä, vuotta 20-29;Ikä, vuotta 30-39;Ikä, vuotta 40-49;Ikä, vuotta 50-59;Ikä, vuotta 60-64;Ikä, vuotta 65-69;Ikä, vuotta 70-74;Ikä, vuotta 75-79;Ikä, vuotta 80-84;Ikä, vuotta '85-
6 Kaakkoinen suurpiiri;6 Kaakkoinen suurpiiri;Naiset ;8,459;87;1,381;1,041;700;1,211;748;798;786;638;490;579
6 Kaakkoinen suurpiiri;  601 Kulosaari;Yhteensä ;786;10;133;141;86;99;48;41;57;48;53;70
6 Kaakkoinen suurpiiri;  601 Kulosaari;Miehet ;303;2;58;75;52;45;18;10;8;9;9;17
6 Kaakkoinen suurpiiri;  601 Kulosaari;Naiset ;483;8;75;66;34;54;30;31;49;39;44;53
6 Kaakkoinen suurpiiri;  602 Herttoniemi;Yhteensä ;8,779;91;1,605;1,427;1,016;1,352;771;683;619;492;329;394
6 Kaakkoinen suurpiiri;  602 Herttoniemi;Miehet ;3,794;42;762;787;577;624;309;244;170;141;65;73
6 Kaakkoinen suurpiiri;  602 Herttoniemi;Naiset ;4,985;49;843;640;439;728;462;439;449;351;264;321
6 Kaakkoinen suurpiiri;  603 Laajasalo;Yhteensä ;4,851;58;863;731;504;697;386;422;375;334;221;260
6 Kaakkoinen suurpiiri;  603 Laajasalo;Miehet ;1,860;28;400;396;277;268;130;94;87;86;39;55
6 Kaakkoinen suurpiiri;  603 Laajasalo;Naiset ;2,991;30;463;335;227;429;256;328;288;248;182;205
7 Itäinen suurpiiri;7 Itäinen suurpiiri;Yhteensä ;27,464;293;3,479;3,568;2,911;4,758;2,616;2,339;2,276;1,904;1,630;1,690
7 Itäinen suurpiiri;7 Itäinen suurpiiri;Miehet ;11,897;111;1,823;2,279;1,840;2,296;1,070;778;606;464;313;317
7 Itäinen suurpiiri;7 Itäinen suurpiiri;Naiset ;15,567;182;1,656;1,289;1,071;2,462;1,546;1,561;1,670;1,440;1,317;1,373
7 Itäinen suurpiiri;  701 Vartiokylä;Yhteensä ;5,124;65;693;727;549;776;461;425;451;332;296;349
7 Itäinen suurpiiri;  701 Vartiokylä;Miehet ;2,237;31;373;415;344;393;204;145;119;85;59;69
7 Itäinen suurpiiri;  701 Vartiokylä;Naiset ;2,887;34;320;312;205;383;257;280;332;247;237;280
7 Itäinen suurpiiri;  702 Myllypuro;Yhteensä ;2,825;21;348;355;286;484;263;236;220;203;188;221
7 Itäinen suurpiiri;  702 Myllypuro;Miehet ;1,256;8;191;238;204;247;112;83;61;47;27;38
7 Itäinen suurpiiri;  702 Myllypuro;Naiset ;1,569;13;157;117;82;237;151;153;159;156;161;183
7 Itäinen suurpiiri;  703 Mellunkylä;Yhteensä ;9,941;120;1,290;1,293;1,033;1,715;1,000;867;800;692;566;565
7 Itäinen suurpiiri;  703 Mellunkylä;Miehet ;4,436;34;667;872;675;859;406;296;238;173;114;102
7 Itäinen suurpiiri;  703 Mellunkylä;Naiset ;5,505;86;623;421;358;856;594;571;562;519;452;463
7 Itäinen suurpiiri;  704 Vuosaari;Yhteensä ;9,574;87;1,148;1,193;1,043;1,783;892;811;805;677;580;555
7 Itäinen suurpiiri;  704 Vuosaari;Miehet ;3,968;38;592;754;617;797;348;254;188;159;113;108
7 Itäinen suurpiiri;  704 Vuosaari;Naiset ;5,606;49;556;439;426;986;544;557;617;518;467;447
8 Östersundomin suurpiiri;8 Östersundomin suurpiiri;Yhteensä ;113;1;4;9;17;26;12;9;9;11;8;7
8 Östersundomin suurpiiri;8 Östersundomin suurpiiri;Miehet ;68;1;2;7;11;16;7;6;5;7;3;3
8 Östersundomin suurpiiri;8 Östersundomin suurpiiri;Naiset ;45;0;2;2;6;10;5;3;4;4;5;4
8 Östersundomin suurpiiri;  801 Östersundom;Yhteensä ;113;1;4;9;17;26;12;9;9;11;8;7
8 Östersundomin suurpiiri;  801 Östersundom;Miehet ;68;1;2;7;11;16;7;6;5;7;3;3
8 Östersundomin suurpiiri;  801 Östersundom;Naiset ;45;0;2;2;6;10;5;3;4;4;5;4
